author,author_id,author_is_uploader,author_thumbnail,id,is_favorited,like_count,parent,text,time_text,timestamp
INCONN INCONNU,UClUp5sl0pZ5afNpaTRdc_Bw,False,https://yt3.ggpht.com/ytc/AKedOLRotWRof1Wz2s31jrdikePvwuFvoe6glvYXsw=s176-c-k-c0x00ffffff-no-rj,UgxwVYR3CZJ6EBsgcZx4AaABAg,False,0,root,"Dame arrête de jouer au connais tout certes dans ce cas les gens ont des réserves mais toi aussi mandoul finalement tu risques de passer ""MOR DADJE """,23 hours ago,1658246400
INCONN INCONNU,UClUp5sl0pZ5afNpaTRdc_Bw,False,https://yt3.ggpht.com/ytc/AKedOLRotWRof1Wz2s31jrdikePvwuFvoe6glvYXsw=s176-c-k-c0x00ffffff-no-rj,UgxwVYR3CZJ6EBsgcZx4AaABAg.9dfILRjodyD9dg4d8N71dW,False,0,UgxwVYR3CZJ6EBsgcZx4AaABAg,C'est toi-même qui doit respecter les gens pensant être plus intelligent que tout le monde,15 hours ago,1658275200
Ouseynou Sall,UCotF8sT0lvIM1zzkP0ObC9Q,False,https://yt3.ggpht.com/ytc/AKedOLRTq2jTRx9wVoKjT4HSudzBP828BYt9OtH5YQ=s176-c-k-c0x00ffffff-no-rj,UgxIU9tUvhl9RWRU-p94AaABAg,False,13,root,Procureur ďoul réke laye défe domarame dji,23 hours ago,1658246400
Ouseynou Sall,UCotF8sT0lvIM1zzkP0ObC9Q,False,https://yt3.ggpht.com/ytc/AKedOLRTq2jTRx9wVoKjT4HSudzBP828BYt9OtH5YQ=s176-c-k-c0x00ffffff-no-rj,UgzLM8n3ulSQN0wgHYx4AaABAg,False,5,root,Macky dégage,23 hours ago,1658246400
Fanta Diop,UCRe_Uftl3VyGgoW8oOCv_cg,False,https://yt3.ggpht.com/ytc/AKedOLRhBeboOhcjPzZbShXRkHCvg4fc4nS3Xa73MQ=s176-c-k-c0x00ffffff-no-rj,UgzF6DkFGWXxhxiayAl4AaABAg,False,4,root,❤❤❤❤❤🇸🇳🇸🇳🙏🙏🙏👍👍,23 hours ago,1658246400
badou ndiaye,UCwiC7KBO-s6nfHUZ0iGhmaw,False,https://yt3.ggpht.com/ytc/AKedOLQ6Yo38kE3GBd39GFYeXW1ZJXa_9aoT44LUsg=s176-c-k-c0x00ffffff-no-rj,Ugw7cZi1NJarQE6hTC14AaABAg,False,6,root,No procureur bi limou wax yénou woul mana,23 hours ago,1658246400
Khaze sow,UCYTq7yi5du5HyI5IILRy2Tw,False,https://yt3.ggpht.com/ytc/AKedOLRxQZR2dH4PJxLmcsa7iS0iCLQf3i2KKiguTv9q-WSRFWWaNrKVSrw0RQhmIIam=s176-c-k-c0x00ffffff-no-rj,UgyNBZf_hJX4TcuLzEF4AaABAg,False,12,root,Sonko président sonko,23 hours ago,1658246400
Khaze sow,UCYTq7yi5du5HyI5IILRy2Tw,False,https://yt3.ggpht.com/ytc/AKedOLRxQZR2dH4PJxLmcsa7iS0iCLQf3i2KKiguTv9q-WSRFWWaNrKVSrw0RQhmIIam=s176-c-k-c0x00ffffff-no-rj,Ugxb-RzcZGpvHYSmYZt4AaABAg,False,0,root,Ltakh  muni darous  dabaga wakhni  daboole  sonko  mootak murs  rus procurer bi fenrek,23 hours ago,1658246400
papa thiam,UC0gCNKVQpltJ_xXxWjV32Jw,False,https://yt3.ggpht.com/ytc/AKedOLTJDMLHKCXy0KvwcZMQ7sPtvaMJIwvhXi9dzw=s176-c-k-c0x00ffffff-no-rj,UgyvPLFiteb-2kWOa654AaABAg,False,0,root,"Sacré dame mbodj.. xaw ģa ray ""procureur""",23 hours ago (edited),1658246400
Nix Nix,UCXQt1Qrd_9kBwStn1IOrWaA,False,https://yt3.ggpht.com/ytc/AKedOLTWU303zjPU6hbvcpSbWicbT4S-3DGz0YymjxYtSL2lTHj9CmhSrtyMHuhQZWcT=s176-c-k-c0x00ffffff-no-rj,UgyVR-mo9E6fhHv7V3h4AaABAg,False,12,root,ENFIN QUELQU UN QUI POSE LES VRAIES QUESTIONS: LA TABLETTE IL Y AVAIT QUOI DANS LA TABLETTE? IL N Y A QUE LA FEMME DU DEFUNT POUR PEUT ETRE DONNER LA REPONSE.,23 hours ago,1658246400
